county,year,month,births,Pop2010
"St. Lawrence County, NY",2016,July,45,111944
"St. Lawrence County, NY",2016,August,31,111944
"St. Lawrence County, NY",2016,September,26,111944
"St. Lawrence County, NY",2016,October,28,111944
"St. Lawrence County, NY",2016,November,21,111944
"St. Lawrence County, NY",2016,December,28,111944
"St. Lawrence County, NY",2017,January,25,111944
"St. Lawrence County, NY",2017,February,33,111944
"St. Lawrence County, NY",2017,March,33,111944
"St. Lawrence County, NY",2017,April,24,111944
"St. Lawrence County, NY",2017,May,25,111944
"St. Lawrence County, NY",2017,June,32,111944
"St. Lawrence County, NY",2017,July,33,111944
"St. Lawrence County, NY",2017,August,24,111944
"St. Lawrence County, NY",2017,September,29,111944
"St. Lawrence County, NY",2017,October,19,111944
"St. Lawrence County, NY",2017,November,23,111944
"St. Lawrence County, NY",2017,December,25,111944
"St. Lawrence County, NY",2018,January,29,111944
"St. Lawrence County, NY",2018,February,28,111944
"St. Lawrence County, NY",2018,March,24,111944
"St. Lawrence County, NY",2018,April,28,111944
"St. Lawrence County, NY",2018,May,36,111944
"St. Lawrence County, NY",2018,June,27,111944
"St. Lawrence County, NY",2018,July,34,111944
"St. Lawrence County, NY",2018,August,38,111944
"St. Lawrence County, NY",2018,September,26,111944
"St. Lawrence County, NY",2018,October,31,111944
"St. Lawrence County, NY",2018,November,24,111944
"St. Lawrence County, NY",2018,December,31,111944
"St. Lawrence County, NY",2019,January,22,111944
"St. Lawrence County, NY",2019,February,27,111944
"St. Lawrence County, NY",2019,March,22,111944
"St. Lawrence County, NY",2019,April,27,111944
"St. Lawrence County, NY",2019,May,20,111944
"St. Lawrence County, NY",2019,June,26,111944
"St. Lawrence County, NY",2019,July,31,111944
"St. Lawrence County, NY",2019,August,19,111944
"St. Lawrence County, NY",2019,September,31,111944
"St. Lawrence County, NY",2019,October,26,111944
"St. Lawrence County, NY",2019,November,18,111944
"St. Lawrence County, NY",2019,December,25,111944
"Catawba County, NC",2016,January,66,154358
"Catawba County, NC",2016,February,72,154358
"Catawba County, NC",2016,March,72,154358
"Catawba County, NC",2016,April,75,154358
"Catawba County, NC",2016,May,87,154358
"Catawba County, NC",2016,June,84,154358
"Catawba County, NC",2016,July,65,154358
"Catawba County, NC",2016,August,72,154358
"Catawba County, NC",2016,September,77,154358
"Catawba County, NC",2016,October,77,154358
"Catawba County, NC",2016,November,55,154358
"Catawba County, NC",2016,December,80,154358
"Catawba County, NC",2017,January,74,154358
"Catawba County, NC",2017,February,57,154358
"Catawba County, NC",2017,March,79,154358
"Catawba County, NC",2017,April,52,154358
"Catawba County, NC",2017,May,71,154358
"Catawba County, NC",2017,June,71,154358
"Catawba County, NC",2017,July,65,154358
"Catawba County, NC",2017,August,82,154358
"Catawba County, NC",2017,September,66,154358
"Catawba County, NC",2017,October,72,154358
"Catawba County, NC",2017,November,68,154358
"Catawba County, NC",2017,December,77,154358
"Catawba County, NC",2018,January,61,154358
"Catawba County, NC",2018,February,65,154358
"Catawba County, NC",2018,March,70,154358
"Catawba County, NC",2018,April,69,154358
"Catawba County, NC",2018,May,64,154358
"Catawba County, NC",2018,June,66,154358
"Catawba County, NC",2018,July,76,154358
"Catawba County, NC",2018,August,58,154358
"Catawba County, NC",2018,September,84,154358
"Catawba County, NC",2018,October,71,154358
"Catawba County, NC",2018,November,72,154358
"Catawba County, NC",2018,December,70,154358
"Catawba County, NC",2019,January,68,154358
"Catawba County, NC",2019,February,53,154358
"Catawba County, NC",2019,March,69,154358
"Catawba County, NC",2019,April,52,154358
"Catawba County, NC",2019,May,65,154358
"Catawba County, NC",2019,June,58,154358
"Catawba County, NC",2019,July,72,154358
"Catawba County, NC",2019,August,69,154358
"Catawba County, NC",2019,September,58,154358
"Catawba County, NC",2019,October,61,154358
"Catawba County, NC",2019,November,63,154358
"Catawba County, NC",2019,December,66,154358
"Randolph County, NC",2016,January,48,141752
"Randolph County, NC",2016,February,55,141752
"Randolph County, NC",2016,March,53,141752
"Randolph County, NC",2016,April,45,141752
"Randolph County, NC",2016,May,60,141752
"Randolph County, NC",2016,June,57,141752
"Randolph County, NC",2016,July,63,141752
"Randolph County, NC",2016,August,56,141752
"Randolph County, NC",2016,September,47,141752
"Randolph County, NC",2016,October,47,141752
"Randolph County, NC",2016,November,52,141752
"Randolph County, NC",2016,December,46,141752
"Randolph County, NC",2017,January,43,141752
"Randolph County, NC",2017,February,38,141752
"Randolph County, NC",2017,March,46,141752
"Randolph County, NC",2017,April,43,141752
"Randolph County, NC",2017,May,62,141752
"Randolph County, NC",2017,June,63,141752
"Randolph County, NC",2017,July,50,141752
"Randolph County, NC",2017,August,65,141752
"Randolph County, NC",2017,September,60,141752
"Randolph County, NC",2017,October,38,141752
"Randolph County, NC",2017,November,49,141752
"Randolph County, NC",2017,December,52,141752
"Randolph County, NC",2018,January,54,141752
"Randolph County, NC",2018,February,36,141752
"Randolph County, NC",2018,March,51,141752
"Randolph County, NC",2018,April,39,141752
"Randolph County, NC",2018,May,50,141752
"Randolph County, NC",2018,June,48,141752
"Randolph County, NC",2018,July,50,141752
"Randolph County, NC",2018,August,53,141752
"Randolph County, NC",2018,September,49,141752
"Randolph County, NC",2018,October,46,141752
"Randolph County, NC",2018,November,48,141752
"Randolph County, NC",2018,December,48,141752
"Randolph County, NC",2019,January,43,141752
"Randolph County, NC",2019,February,48,141752
"Randolph County, NC",2019,March,45,141752
"Randolph County, NC",2019,April,40,141752
"Randolph County, NC",2019,May,52,141752
"Randolph County, NC",2019,June,49,141752
"Randolph County, NC",2019,July,42,141752
"Randolph County, NC",2019,August,57,141752
"Randolph County, NC",2019,September,41,141752
"Randolph County, NC",2019,October,49,141752
"Randolph County, NC",2019,November,40,141752
"Randolph County, NC",2019,December,52,141752
"Richland County, OH",2016,January,49,124475
"Richland County, OH",2016,February,33,124475
"Richland County, OH",2016,March,46,124475
"Richland County, OH",2016,April,35,124475
"Richland County, OH",2016,May,33,124475
"Richland County, OH",2016,June,37,124475
"Richland County, OH",2016,July,40,124475
"Richland County, OH",2016,August,44,124475
"Richland County, OH",2016,September,34,124475
"Richland County, OH",2016,October,42,124475
"Richland County, OH",2016,November,44,124475
"Richland County, OH",2016,December,38,124475
"Richland County, OH",2017,January,43,124475
"Richland County, OH",2017,February,32,124475
"Richland County, OH",2017,March,32,124475
"Richland County, OH",2017,April,33,124475
"Richland County, OH",2017,May,32,124475
"Richland County, OH",2017,June,35,124475
"Richland County, OH",2017,July,36,124475
"Richland County, OH",2017,August,48,124475
"Richland County, OH",2017,September,37,124475
"Richland County, OH",2017,October,30,124475
"Richland County, OH",2017,November,46,124475
"Richland County, OH",2017,December,40,124475
"Richland County, OH",2018,January,30,124475
"Richland County, OH",2018,February,34,124475
"Richland County, OH",2018,March,38,124475
"Richland County, OH",2018,April,35,124475
"Richland County, OH",2018,May,40,124475
"Richland County, OH",2018,June,26,124475
"Richland County, OH",2018,July,45,124475
"Richland County, OH",2018,August,35,124475
"Richland County, OH",2018,September,44,124475
"Richland County, OH",2018,October,47,124475
"Richland County, OH",2018,November,26,124475
"Richland County, OH",2018,December,35,124475
"Richland County, OH",2019,January,35,124475
"Richland County, OH",2019,February,24,124475
"Richland County, OH",2019,March,34,124475
"Richland County, OH",2019,April,39,124475
"Richland County, OH",2019,May,28,124475
"Richland County, OH",2019,June,30,124475
"Richland County, OH",2019,July,34,124475
"Richland County, OH",2019,August,33,124475
"Richland County, OH",2019,September,36,124475
"Richland County, OH",2019,October,36,124475
"Richland County, OH",2019,November,31,124475
"Richland County, OH",2019,December,30,124475
"Douglas County, OR",2016,January,42,107667
"Douglas County, OR",2016,February,43,107667
"Douglas County, OR",2016,March,36,107667
"Douglas County, OR",2016,April,28,107667
"Douglas County, OR",2016,May,34,107667
"Douglas County, OR",2016,June,45,107667
"Douglas County, OR",2016,July,41,107667
"Douglas County, OR",2016,August,49,107667
"Douglas County, OR",2016,September,44,107667
"Douglas County, OR",2016,October,40,107667
"Douglas County, OR",2016,November,49,107667
"Douglas County, OR",2016,December,42,107667
"Douglas County, OR",2017,January,41,107667
"Douglas County, OR",2017,February,42,107667
"Douglas County, OR",2017,March,35,107667
"Douglas County, OR",2017,April,39,107667
"Douglas County, OR",2017,May,51,107667
"Douglas County, OR",2017,June,46,107667
"Douglas County, OR",2017,July,33,107667
"Douglas County, OR",2017,August,38,107667
"Douglas County, OR",2017,September,40,107667
"Douglas County, OR",2017,October,30,107667
"Douglas County, OR",2017,November,44,107667
"Douglas County, OR",2017,December,49,107667
"Douglas County, OR",2018,January,47,107667
"Douglas County, OR",2018,February,43,107667
"Douglas County, OR",2018,March,40,107667
"Douglas County, OR",2018,April,42,107667
"Douglas County, OR",2018,May,55,107667
"Douglas County, OR",2018,June,48,107667
"Douglas County, OR",2018,July,49,107667
"Douglas County, OR",2018,August,37,107667
"Douglas County, OR",2018,September,44,107667
"Douglas County, OR",2018,October,41,107667
"Douglas County, OR",2018,November,35,107667
"Douglas County, OR",2018,December,36,107667
"Douglas County, OR",2019,January,41,107667
"Douglas County, OR",2019,February,32,107667
"Douglas County, OR",2019,March,41,107667
"Douglas County, OR",2019,April,45,107667
"Douglas County, OR",2019,May,35,107667
"Douglas County, OR",2019,June,57,107667
"Douglas County, OR",2019,July,48,107667
"Douglas County, OR",2019,August,36,107667
"Douglas County, OR",2019,September,41,107667
"Douglas County, OR",2019,October,30,107667
"Douglas County, OR",2019,November,27,107667
"Douglas County, OR",2019,December,41,107667
"Florence County, SC",2016,January,44,136885
"Florence County, SC",2016,February,39,136885
"Florence County, SC",2016,March,55,136885
"Florence County, SC",2016,April,53,136885
"Florence County, SC",2016,May,56,136885
"Florence County, SC",2016,June,55,136885
"Florence County, SC",2016,July,49,136885
"Florence County, SC",2016,August,57,136885
"Florence County, SC",2016,September,46,136885
"Florence County, SC",2016,October,52,136885
"Florence County, SC",2016,November,63,136885
"Florence County, SC",2016,December,58,136885
"Florence County, SC",2017,January,40,136885
"Florence County, SC",2017,February,37,136885
"Florence County, SC",2017,March,31,136885
"Florence County, SC",2017,April,41,136885
"Florence County, SC",2017,May,40,136885
"Florence County, SC",2017,June,44,136885
"Florence County, SC",2017,July,54,136885
"Florence County, SC",2017,August,41,136885
"Florence County, SC",2017,September,50,136885
"Florence County, SC",2017,October,47,136885
"Florence County, SC",2017,November,55,136885
"Florence County, SC",2017,December,49,136885
"Florence County, SC",2018,January,49,136885
"Florence County, SC",2018,February,52,136885
"Florence County, SC",2018,March,58,136885
"Florence County, SC",2018,April,50,136885
"Florence County, SC",2018,May,36,136885
"Florence County, SC",2018,June,44,136885
"Florence County, SC",2018,July,49,136885
"Florence County, SC",2018,August,49,136885
"Florence County, SC",2018,September,49,136885
"Florence County, SC",2018,October,40,136885
"Florence County, SC",2018,November,49,136885
"Florence County, SC",2018,December,45,136885
"Florence County, SC",2019,January,59,136885
"Florence County, SC",2019,February,49,136885
"Florence County, SC",2019,March,41,136885
"Florence County, SC",2019,April,36,136885
"Florence County, SC",2019,May,43,136885
"Florence County, SC",2019,June,42,136885
"Florence County, SC",2019,July,43,136885
"Florence County, SC",2019,August,42,136885
"Florence County, SC",2019,September,53,136885
"Florence County, SC",2019,October,44,136885
"Florence County, SC",2019,November,60,136885
"Florence County, SC",2019,December,50,136885
"Blount County, TN",2016,January,35,123010
"Blount County, TN",2016,February,27,123010
"Blount County, TN",2016,March,29,123010
"Blount County, TN",2016,April,28,123010
"Blount County, TN",2016,May,33,123010
"Blount County, TN",2016,June,33,123010
"Blount County, TN",2016,July,42,123010
"Blount County, TN",2016,August,37,123010
"Blount County, TN",2016,September,36,123010
"Blount County, TN",2016,October,37,123010
"Blount County, TN",2016,November,28,123010
"Blount County, TN",2016,December,33,123010
"Blount County, TN",2017,January,38,123010
"Blount County, TN",2017,February,19,123010
"Blount County, TN",2017,March,20,123010
"Blount County, TN",2017,April,33,123010
"Blount County, TN",2017,May,41,123010
"Blount County, TN",2017,June,36,123010
"Blount County, TN",2017,July,30,123010
"Blount County, TN",2017,August,29,123010
"Blount County, TN",2017,September,29,123010
"Blount County, TN",2017,October,27,123010
"Blount County, TN",2017,November,36,123010
"Blount County, TN",2017,December,33,123010
"Blount County, TN",2018,January,28,123010
"Blount County, TN",2018,February,34,123010
"Blount County, TN",2018,March,35,123010
"Blount County, TN",2018,April,35,123010
"Blount County, TN",2018,May,26,123010
"Blount County, TN",2018,June,34,123010
"Blount County, TN",2018,July,35,123010
"Blount County, TN",2018,August,31,123010
"Blount County, TN",2018,September,36,123010
"Blount County, TN",2018,October,33,123010
"Blount County, TN",2018,November,37,123010
"Blount County, TN",2018,December,32,123010
"Blount County, TN",2019,January,43,123010
"Blount County, TN",2019,February,29,123010
"Blount County, TN",2019,March,28,123010
"Blount County, TN",2019,April,33,123010
"Blount County, TN",2019,May,36,123010
"Blount County, TN",2019,June,29,123010
"Blount County, TN",2019,July,30,123010
"Blount County, TN",2019,August,43,123010
"Blount County, TN",2019,September,27,123010
"Blount County, TN",2019,October,37,123010
"Blount County, TN",2019,November,15,123010
"Blount County, TN",2019,December,33,123010
"Sullivan County, TN",2016,January,29,156823
"Sullivan County, TN",2016,February,37,156823
"Sullivan County, TN",2016,March,26,156823
"Sullivan County, TN",2016,April,35,156823
"Sullivan County, TN",2016,May,29,156823
"Sullivan County, TN",2016,June,50,156823
"Sullivan County, TN",2016,July,41,156823
"Sullivan County, TN",2016,August,41,156823
"Sullivan County, TN",2016,September,40,156823
"Sullivan County, TN",2016,October,53,156823
"Sullivan County, TN",2016,November,36,156823
"Sullivan County, TN",2016,December,36,156823
"Sullivan County, TN",2017,January,41,156823
"Sullivan County, TN",2017,February,39,156823
"Sullivan County, TN",2017,March,49,156823
"Sullivan County, TN",2017,April,51,156823
"Sullivan County, TN",2017,May,42,156823
"Sullivan County, TN",2017,June,46,156823
"Sullivan County, TN",2017,July,44,156823
"Sullivan County, TN",2017,August,53,156823
"Sullivan County, TN",2017,September,40,156823
"Sullivan County, TN",2017,October,52,156823
"Sullivan County, TN",2017,November,40,156823
"Sullivan County, TN",2017,December,41,156823
"Sullivan County, TN",2018,January,36,156823
"Sullivan County, TN",2018,February,40,156823
"Sullivan County, TN",2018,March,39,156823
"Sullivan County, TN",2018,April,30,156823
"Sullivan County, TN",2018,May,45,156823
"Sullivan County, TN",2018,June,31,156823
"Sullivan County, TN",2018,July,45,156823
"Sullivan County, TN",2018,August,47,156823
"Sullivan County, TN",2018,September,44,156823
"Sullivan County, TN",2018,October,38,156823
"Sullivan County, TN",2018,November,35,156823
"Sullivan County, TN",2018,December,43,156823
"Sullivan County, TN",2019,January,35,156823
"Sullivan County, TN",2019,February,38,156823
"Sullivan County, TN",2019,March,53,156823
"Sullivan County, TN",2019,April,39,156823
"Sullivan County, TN",2019,May,38,156823
"Sullivan County, TN",2019,June,51,156823
"Sullivan County, TN",2019,July,45,156823
"Sullivan County, TN",2019,August,37,156823
"Sullivan County, TN",2019,September,42,156823
"Sullivan County, TN",2019,October,38,156823
"Sullivan County, TN",2019,November,39,156823
"Sullivan County, TN",2019,December,39,156823
"Johnson County, TX",2016,January,84,150934
"Johnson County, TX",2016,February,66,150934
"Johnson County, TX",2016,March,72,150934
"Johnson County, TX",2016,April,77,150934
"Johnson County, TX",2016,May,55,150934
"Johnson County, TX",2016,June,74,150934
"Johnson County, TX",2016,July,81,150934
"Johnson County, TX",2016,August,78,150934
"Johnson County, TX",2016,September,71,150934
"Johnson County, TX",2016,October,65,150934
"Johnson County, TX",2016,November,73,150934
"Johnson County, TX",2016,December,69,150934
"Johnson County, TX",2017,January,76,150934
"Johnson County, TX",2017,February,67,150934
"Johnson County, TX",2017,March,74,150934
"Johnson County, TX",2017,April,64,150934
"Johnson County, TX",2017,May,69,150934
"Johnson County, TX",2017,June,81,150934
"Johnson County, TX",2017,July,73,150934
"Johnson County, TX",2017,August,83,150934
"Johnson County, TX",2017,September,83,150934
"Johnson County, TX",2017,October,59,150934
"Johnson County, TX",2017,November,66,150934
"Johnson County, TX",2017,December,61,150934
"Johnson County, TX",2018,January,67,150934
"Johnson County, TX",2018,February,61,150934
"Johnson County, TX",2018,March,73,150934
"Johnson County, TX",2018,April,60,150934
"Johnson County, TX",2018,May,55,150934
"Johnson County, TX",2018,June,71,150934
"Johnson County, TX",2018,July,85,150934
"Johnson County, TX",2018,August,72,150934
"Johnson County, TX",2018,September,79,150934
"Johnson County, TX",2018,October,81,150934
"Johnson County, TX",2018,November,78,150934
"Johnson County, TX",2018,December,66,150934
"Johnson County, TX",2019,January,77,150934
"Johnson County, TX",2019,February,64,150934
"Johnson County, TX",2019,March,72,150934
"Johnson County, TX",2019,April,59,150934
"Johnson County, TX",2019,May,92,150934
"Johnson County, TX",2019,June,66,150934
"Johnson County, TX",2019,July,88,150934
"Johnson County, TX",2019,August,70,150934
"Johnson County, TX",2019,September,58,150934
"Johnson County, TX",2019,October,77,150934
"Johnson County, TX",2019,November,67,150934
"Johnson County, TX",2019,December,75,150934
"Parker County, TX",2016,January,39,116927
"Parker County, TX",2016,February,40,116927
"Parker County, TX",2016,March,50,116927
"Parker County, TX",2016,April,48,116927
"Parker County, TX",2016,May,39,116927
"Parker County, TX",2016,June,38,116927
"Parker County, TX",2016,July,58,116927
"Parker County, TX",2016,August,40,116927
"Parker County, TX",2016,September,64,116927
"Parker County, TX",2016,October,40,116927
"Parker County, TX",2016,November,38,116927
"Parker County, TX",2016,December,40,116927
"Parker County, TX",2017,January,35,116927
"Parker County, TX",2017,February,35,116927
"Parker County, TX",2017,March,33,116927
"Parker County, TX",2017,April,40,116927
"Parker County, TX",2017,May,35,116927
"Parker County, TX",2017,June,46,116927
"Parker County, TX",2017,July,34,116927
"Parker County, TX",2017,August,50,116927
"Parker County, TX",2017,September,48,116927
"Parker County, TX",2017,October,50,116927
"Parker County, TX",2017,November,43,116927
"Parker County, TX",2017,December,46,116927
"Parker County, TX",2018,January,39,116927
"Parker County, TX",2018,February,45,116927
"Parker County, TX",2018,March,39,116927
"Parker County, TX",2018,April,49,116927
"Parker County, TX",2018,May,41,116927
"Parker County, TX",2018,June,51,116927
"Parker County, TX",2018,July,51,116927
"Parker County, TX",2018,August,53,116927
"Parker County, TX",2018,September,34,116927
"Parker County, TX",2018,October,46,116927
"Parker County, TX",2018,November,40,116927
"Parker County, TX",2018,December,43,116927
"Parker County, TX",2019,January,36,116927
"Parker County, TX",2019,February,42,116927
"Parker County, TX",2019,March,39,116927
"Parker County, TX",2019,April,40,116927
"Parker County, TX",2019,May,43,116927
"Parker County, TX",2019,June,36,116927
"Parker County, TX",2019,July,51,116927
"Parker County, TX",2019,August,47,116927
"Parker County, TX",2019,September,47,116927
"Parker County, TX",2019,October,51,116927
"Parker County, TX",2019,November,33,116927
"Parker County, TX",2019,December,40,116927
"Cowlitz County, WA",2016,January,38,102410
"Cowlitz County, WA",2016,February,35,102410
"Cowlitz County, WA",2016,March,53,102410
"Cowlitz County, WA",2016,April,48,102410
"Cowlitz County, WA",2016,May,43,102410
"Cowlitz County, WA",2016,June,43,102410
"Cowlitz County, WA",2016,July,37,102410
"Cowlitz County, WA",2016,August,39,102410
"Cowlitz County, WA",2016,September,48,102410
"Cowlitz County, WA",2016,October,41,102410
"Cowlitz County, WA",2016,November,38,102410
"Cowlitz County, WA",2016,December,35,102410
"Cowlitz County, WA",2017,January,43,102410
"Cowlitz County, WA",2017,February,44,102410
"Cowlitz County, WA",2017,March,25,102410
"Cowlitz County, WA",2017,April,47,102410
"Cowlitz County, WA",2017,May,43,102410
"Cowlitz County, WA",2017,June,38,102410
"Cowlitz County, WA",2017,July,35,102410
"Cowlitz County, WA",2017,August,44,102410
"Cowlitz County, WA",2017,September,37,102410
"Cowlitz County, WA",2017,October,34,102410
"Cowlitz County, WA",2017,November,50,102410
"Cowlitz County, WA",2017,December,43,102410
"Cowlitz County, WA",2018,January,42,102410
"Cowlitz County, WA",2018,February,33,102410
"Cowlitz County, WA",2018,March,47,102410
"Cowlitz County, WA",2018,April,43,102410
"Cowlitz County, WA",2018,May,42,102410
"Cowlitz County, WA",2018,June,47,102410
"Cowlitz County, WA",2018,July,52,102410
"Cowlitz County, WA",2018,August,37,102410
"Cowlitz County, WA",2018,September,42,102410
"Cowlitz County, WA",2018,October,34,102410
"Cowlitz County, WA",2018,November,24,102410
"Cowlitz County, WA",2018,December,41,102410
"Cowlitz County, WA",2019,January,47,102410
"Cowlitz County, WA",2019,February,34,102410
"Cowlitz County, WA",2019,March,36,102410
"Cowlitz County, WA",2019,April,44,102410
"Cowlitz County, WA",2019,May,44,102410
"Cowlitz County, WA",2019,June,39,102410
"Cowlitz County, WA",2019,July,41,102410
"Cowlitz County, WA",2019,August,44,102410
"Cowlitz County, WA",2019,September,40,102410
"Cowlitz County, WA",2019,October,35,102410
"Cowlitz County, WA",2019,November,35,102410
"Cowlitz County, WA",2019,December,34,102410
"Sheboygan County, WI",2016,January,49,115507
"Sheboygan County, WI",2016,February,38,115507
"Sheboygan County, WI",2016,March,44,115507
"Sheboygan County, WI",2016,April,44,115507
"Sheboygan County, WI",2016,May,40,115507
"Sheboygan County, WI",2016,June,44,115507
"Sheboygan County, WI",2016,July,44,115507
"Sheboygan County, WI",2016,August,40,115507
"Sheboygan County, WI",2016,September,36,115507
"Sheboygan County, WI",2016,October,47,115507
"Sheboygan County, WI",2016,November,39,115507
"Sheboygan County, WI",2016,December,37,115507
"Sheboygan County, WI",2017,January,55,115507
"Sheboygan County, WI",2017,February,39,115507
"Sheboygan County, WI",2017,March,35,115507
"Sheboygan County, WI",2017,April,34,115507
"Sheboygan County, WI",2017,May,34,115507
"Sheboygan County, WI",2017,June,45,115507
"Sheboygan County, WI",2017,July,53,115507
"Sheboygan County, WI",2017,August,45,115507
"Sheboygan County, WI",2017,September,36,115507
"Sheboygan County, WI",2017,October,42,115507
"Sheboygan County, WI",2017,November,45,115507
"Sheboygan County, WI",2017,December,34,115507
"Sheboygan County, WI",2018,January,46,115507
"Sheboygan County, WI",2018,February,34,115507
"Sheboygan County, WI",2018,March,47,115507
"Sheboygan County, WI",2018,April,41,115507
"Sheboygan County, WI",2018,May,39,115507
"Sheboygan County, WI",2018,June,39,115507
"Sheboygan County, WI",2018,July,44,115507
"Sheboygan County, WI",2018,August,43,115507
"Sheboygan County, WI",2018,September,33,115507
"Sheboygan County, WI",2018,October,37,115507
"Sheboygan County, WI",2018,November,40,115507
"Sheboygan County, WI",2018,December,31,115507
"Sheboygan County, WI",2019,January,33,115507
"Sheboygan County, WI",2019,February,38,115507
"Sheboygan County, WI",2019,March,28,115507
"Sheboygan County, WI",2019,April,37,115507
"Sheboygan County, WI",2019,May,33,115507
"Sheboygan County, WI",2019,June,41,115507
"Sheboygan County, WI",2019,July,38,115507
"Sheboygan County, WI",2019,August,52,115507
"Sheboygan County, WI",2019,September,32,115507
"Sheboygan County, WI",2019,October,31,115507
"Sheboygan County, WI",2019,November,36,115507
"Sheboygan County, WI",2019,December,40,115507
